Brand,Brand Collection,Name,Product,Item Type,Application,Description,Dealer Price,MSRP,Unit,Driver Components,Crossover,Frequency Response,Recommended Amp Power,Input Connectors,Mounting Options,Warranty,Woofer,Midrange,Tweeter,Coverage / Dispersion,Mounting Depth,Cutout Diameter,Speaker / Grille Diameter,Channels,Output Power @ 2 Ohm,Output Power @ 4 Ohm,Output Power @ 8 Ohm,Output Power @ 70V,Output Power @ 100V,Powersharing (up to),Power Consumption,Output Voltage,Total System Power,Inputs,Outputs,Power Handling,Dimensions,Weight,Impedance,Sensitivity,Max SPL,Transformer Taps,System Type,Enclosure,Colors
Ambisonic,Seasons,10BP-IG-70V,Landscape,Subwoofer,Outdoor,10BP-IG-70v paired with JB1300,2043,4085,each (ea),"10"" All Weather In-Ground Composite Woofer","DSP HPF = 80Hz, 12dB per Octave Butterworth",32Hz – 200Hz | 35Hz – 200Hz +/- 3dB,300W (FTC),"24"" x 12AWG Pigtail with Waterproof Wire Nuts",In-Ground,Limited 1-Year Warranty,,,,,,,,,,,,,,,,,,,,"Handling: 300W RMS, 600W Peak, Displacement Limited","24.17"" x 13.8"" x 10.8"" | 61.4cm x 35.1cm x 27.4cm",25.4lbs / 11.4kg (Net),70V,91dB,115.8 dB (Calculated),,"Compact Band-Pass In-Ground Subwoofer with 9.4"" (24cm) Canopy",Composite Roto-Mold,Includes In-Ground 300W 70V Transformer
Ambisonic,Seasons,10BP-IG-8ohm,Landscape,Subwoofer,Outdoor,10 Band Pass/In Ground Subwoofer/ Copper Canopy,1828,3655,each (ea),"10"" All Weather In-Ground Composite Woofer","DSP HPF = 80Hz, 12dB per Octave Butterworth",32Hz – 200Hz | 35Hz – 200Hz +/- 3dB,600W (FTC),"24"" x 12AWG Pigtail with Waterproof Wire Nuts",In-Ground,Limited 1-Year Warranty,,,,,,,,,,,,,,,,,,,,"Handling: 300W RMS, 600W Peak, Displacement Limited","24.17"" x 13.8"" x 10.8"" | 61.4cm x 35.1cm x 27.4cm",25.4lbs / 11.4kg (Net),8 ohm,91dB,115.8 dB (Calculated),,"Compact Band-Pass In-Ground Subwoofer with 9.4"" (24cm) Canopy",Composite Roto-Mold,
Ambisonic,Seasons,10HDR-AW-70V,Landscape,Subwoofer,Outdoor,10HDR-AW JB1300 10RS350,1452,2903,each (ea),"10"" Tower Woofer","Recommended HPF, 12dB per Octave Butterworth",37Hz – 300Hz | +/- 3dB,,Pigtail with Waterproof Wire Nuts,In-Ground,Limited 5-Year Warranty,,,,,,,,,,,,,,,,,,,,"Handling: 300W ACS, 600W Max Peak",,35lbs (Net),70V,97.2 dB (Calculated),122dB Peak,,All Weather In-Ground Subwoofer,Ported Composite,
Ambisonic,Seasons,10HDR-AW-8ohm,Landscape,Subwoofer,Outdoor,10HDR-AW 10RS350,1237,2473,each (ea),"10"" Tower Woofer","Recommended HPF, 12dB per Octave Butterworth",37Hz – 300Hz | +/- 3dB,,Pigtail with Waterproof Wire Nuts,In-Ground,Limited 5-Year Warranty,,,,,,,,,,,,,,,,,,,,"Handling: 300W ACS, 600W Max Peak",,35lbs (Net),8 Ohm,97.2 dB (Calculated),122dB Peak,,All Weather In-Ground Subwoofer,Ported Composite,
Ambisonic,Seasons,12BP-IG : 12BP-IG-8ohm,Landscape,Subwoofer,Outdoor,"Ambisonic Systems - 12"" Outdoor In-Ground   Double Tuned Subwoofer.",2258,4515,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Ambisonic,Seasons,12BP-IG-70v KIT,Landscape,Subwoofer,Outdoor,12BP-IG-70v paired with JB1300,2473,4945,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70V,,,,,,
Ambisonic,Seasons,12HDR-AW-70V,Landscape,Subwoofer,Outdoor,12HDR-AW JB1300 12RS1066,2365,4730,each (ea),"All Weather 12"" Woofer","Recommended HPF, 12dB per Octave Butterworth",31Hz – 250Hz | 41Hz +/- 3dB,,Waterproof Wire Nuts,In-Ground,,,,,,,,,,,,,,,,,,,,,Handling: 1200W Max,,54lbs / 24.5kg (Net) | 64lbs / 29kg (Ship),70V,91.2 dB (Calculated),122dB Continuous,,In-Ground Subwoofer,Ported Composite,
Ambisonic,Seasons,12HDR-AW-8ohm,Landscape,Subwoofer,Outdoor,12HDR-AW 12RS1066,2150,4300,each (ea),"All Weather 12"" Woofer","Recommended HPF, 12dB per Octave Butterworth",31Hz – 250Hz | 41Hz +/- 3dB,,Waterproof Wire Nuts,In-Ground,,,,,,,,,,,,,,,,,,,,,Handling: 1200W Max,,54lbs / 24.5kg (Net) | 64lbs / 29kg (Ship),8 Ohm,91.2 dB (Calculated),122dB Continuous,,In-Ground Subwoofer,Ported Composite,
Ambisonic,HD,6.5HD2-4ohm,Line-Array,Speaker,Outdoor,2x6.5HD-AW-8ohm-Black 1x6.5HDSPIKE-B 2x6.5HDCP-B,1935,3870,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Ohm,,,,,,
Ambisonic,HD,6.5HD2-70V,Line-Array,Speaker,Outdoor,2x6.5HD-AW-8ohm-White 1x6.5HDSPIKE-B 2x6.5HDCP-B 2x100WTF 2xHDACCS-B ,2150,4300,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70V,,,,,,
Ambisonic,HD,6.5HD2-4ohm,Line-Array,Speaker,Outdoor,2x6.5HD-AW-8ohm-Black 1xBRK-6.5-SM-B 2x6.5HDCP-B,1935,3870,each (ea),,"Passive, Custom (1500Hz)",50Hz–20kHz (–10dB); 78Hz–20kHz ±3dB,,,,,"2× 6.5"" Composite Cone",,"2× 6"" Ribbon Driver","110° H, 40° V",,,,,,,,,,,,,,,,RMS: 200W AES | Prog: 400W | Peak: 800W,"15"" × 11.5"" × 11.8"" (38 × 29.21 × 30cm)",45.6lbs (20.4kg) net / 51.6lbs (23.1kg) ship,4? nominal (3.4? min @ 160Hz),95.0,Cont: 115.0dB / Peak: 124.0 dB (Calculated)dB,,Hybrid Coaxial Ribbon Two-Way Full Range (2× Splayed Array),"All Weather Trapezoid Composite, IP-65; Limited 5-Year Warranty",
